credit_history,employment_status,collateral,payment_history,type_of_credit_accounts,public_records_and_collections,purpose_of_loan,income,assets_value,debt_to_income_ratio,length_of_credit_history,number_of_credit_inquiries,number_of_credit_accounts,number_of_credit_accounts_opened_last_12_months,current_balance_of_credit_accounts,total_credit_limit,total_credit_utilization,loan_amount,saving_account_balance,approval_status
Excellent,Unemployed,Land,Good,Personal,Bankruptcy,Other,29281,47354,35,78,2,4,2,8110,3730,49,4088,10570,Rejected
Fair,Employed,None,Good,Auto,Tax Lien,Car Financing,10213,23860,48,59,3,2,0,13319,6862,96,4743,9474,Rejected
Excellent,Employed,Land,Excellent,Personal,Tax Lien,Debt Consolidation,30956,27549,78,37,5,0,2,8589,7889,19,2299,17307,Rejected
Fair,Unemployed,Other,Fair,Auto,Tax Lien,Car Financing,31445,26071,89,45,2,4,0,5626,12594,79,4611,11205,Rejected
Poor,Unemployed,House,Good,Other,Collection,Other,28476,23647,50,97,2,5,0,2802,7814,83,3180,14381,Rejected
Poor,Unemployed,Investment,Excellent,Other,Judgement,Business,41066,49712,29,32,0,4,2,6527,1770,46,1057,11888,Rejected
Poor,Self-Employed,None,Poor,Other,Other,Debt Consolidation,37755,24410,9,75,2,5,0,13319,827,45,4958,472,Rejected
Fair,Unemployed,None,Fair,Personal,Collection,Car Financing,49024,23604,60,16,0,0,2,13615,6376,94,1829,19721,Rejected
Good,Unemployed,Other,Fair,Student,Bankruptcy,Other,17590,19575,98,42,5,0,0,15956,12109,80,3717,11694,Rejected
Poor,Unemployed,Investment,Excellent,Mortgage,Collection,Car Financing,46301,42614,75,78,4,2,0,15494,9445,91,4117,18112,Rejected
Poor,Employed,Car,Poor,Auto,Other,Business,30412,27235,35,97,5,5,0,11101,389,66,2744,7039,Rejected
Excellent,Unemployed,House,Fair,Mortgage,Other,Other,34055,35069,19,99,0,2,4,1395,17605,3,2599,3010,Rejected
Good,Unemployed,Car,Fair,Personal,Other,Debt Consolidation,37196,38245,68,92,3,4,3,6446,7396,7,4577,2614,Rejected
Poor,Employed,House,Poor,Mortgage,Tax Lien,Business,44712,31667,19,49,3,2,2,9842,6517,61,2170,13394,Rejected
Excellent,Employed,House,Poor,Auto,Tax Lien,Car Financing,13980,25004,94,11,2,4,0,15144,8406,62,4184,2999,Rejected
Excellent,Self-Employed,Car,Poor,Student,Judgement,Car Financing,35102,25844,91,48,4,1,4,2698,11174,69,3293,13209,Rejected
Good,Employed,None,Excellent,Personal,Other,Other,46699,48823,39,62,5,2,3,6262,17747,43,3668,12085,Approved
Good,Self-Employed,Land,Fair,Student,Judgement,Debt Consolidation,14962,19619,93,37,1,0,0,19693,5208,41,4862,13152,Rejected
Good,Employed,Investment,Poor,Student,Tax Lien,Other,48979,30197,13,16,5,1,0,1353,11221,5,1527,4599,Approved
Excellent,Self-Employed,Other,Good,Student,Collection,Other,15425,29986,86,29,5,0,0,10659,3923,33,4981,6179,Rejected
Excellent,Unemployed,Car,Good,Other,Tax Lien,Home Improvement,34326,14741,58,21,5,1,1,12287,15626,81,1373,17170,Rejected
Good,Employed,None,Fair,Mortgage,Collection,Debt Consolidation,24345,25588,80,75,3,3,5,2269,8820,52,4172,10984,Approved
Fair,Unemployed,House,Good,Other,Tax Lien,Home Improvement,35681,16222,36,81,4,4,3,5036,7534,76,2159,15866,Rejected
Good,Unemployed,Car,Good,Student,Tax Lien,Debt Consolidation,10145,25185,88,98,3,4,3,13652,17036,30,1325,2941,Approved
Fair,Self-Employed,Car,Good,Mortgage,Other,Debt Consolidation,49789,36409,11,38,2,3,0,11749,4871,72,2066,1971,Rejected
Good,Unemployed,House,Fair,Other,None,Business,10242,10473,40,38,4,0,0,13268,13407,41,4226,15294,Rejected
Good,Unemployed,House,Good,Student,Other,Other,23221,37065,17,16,3,3,2,6579,6356,79,2156,6743,Approved
Poor,Employed,Land,Poor,Student,Tax Lien,Debt Consolidation,27782,37069,43,39,2,3,0,12967,2388,10,1049,5747,Rejected
Good,Employed,Other,Poor,Mortgage,Tax Lien,Business,28605,28714,73,39,5,2,2,3152,16318,88,2875,16299,Approved
Good,Self-Employed,Car,Good,Personal,None,Other,40579,26064,84,58,5,1,1,6239,536,6,4450,9639,Approved
Good,Self-Employed,Investment,Poor,Mortgage,Bankruptcy,Debt Consolidation,42355,20333,44,37,1,1,1,12685,8301,46,3103,1085,Rejected
Good,Employed,Land,Poor,Other,Collection,Home Improvement,30934,49741,93,96,0,0,1,8858,3247,96,4625,9622,Rejected
Poor,Employed,House,Good,Auto,Judgement,Debt Consolidation,17550,23335,52,53,0,2,1,4686,12143,52,2154,7226,Rejected
Good,Employed,Land,Poor,Mortgage,None,Home Improvement,28106,18560,71,15,1,5,5,13219,16224,94,1570,695,Rejected
Good,Employed,Investment,Excellent,Personal,Other,Business,36623,32599,94,8,3,3,1,11343,15850,100,2500,16955,Rejected
Good,Self-Employed,Land,Fair,Other,Judgement,Car Financing,21231,20320,91,36,0,4,0,17574,6778,45,4629,17494,Approved
Fair,Employed,House,Excellent,Auto,Bankruptcy,Car Financing,30630,47693,44,76,0,0,5,14442,8404,66,2800,6369,Rejected
Excellent,Unemployed,House,Poor,Personal,Judgement,Debt Consolidation,34118,20349,41,95,0,2,5,13039,2212,97,4980,6419,Rejected
Poor,Self-Employed,Other,Poor,Student,Other,Business,15648,34113,22,27,2,4,5,8449,17778,13,3927,7184,Rejected
Good,Employed,Land,Good,Other,Judgement,Debt Consolidation,41749,26100,20,77,2,3,4,9647,9748,63,2037,1614,Rejected
Excellent,Unemployed,House,Good,Student,None,Business,27984,33789,55,97,0,3,2,11727,8898,75,1802,13861,Rejected
Excellent,Unemployed,Car,Excellent,Personal,Collection,Debt Consolidation,19944,46076,32,59,3,4,2,9251,10407,3,3668,6255,Rejected
Poor,Unemployed,None,Excellent,Personal,Tax Lien,Debt Consolidation,35198,22411,11,18,3,4,1,19536,4789,70,1126,17662,Rejected
Fair,Employed,Investment,Poor,Auto,Judgement,Business,41974,47430,70,42,1,2,4,3427,11850,42,1920,15169,Rejected
Excellent,Employed,None,Fair,Personal,Other,Debt Consolidation,22845,44125,50,71,0,4,3,907,13648,11,1257,14054,Rejected
Fair,Employed,Other,Poor,Mortgage,Other,Debt Consolidation,48115,36938,0,93,0,1,0,7017,4956,16,3868,5899,Rejected
Good,Self-Employed,House,Fair,Personal,Other,Home Improvement,38397,41939,85,12,1,1,1,5996,18311,76,4998,9242,Approved
Excellent,Unemployed,Other,Fair,Auto,None,Home Improvement,18788,24423,33,50,5,0,4,4484,10744,12,2282,1872,Rejected
Good,Self-Employed,None,Poor,Auto,None,Other,21592,26691,53,35,4,3,2,16467,10485,21,1017,11817,Rejected
Good,Unemployed,Other,Good,Personal,Tax Lien,Other,10756,15058,33,97,2,2,4,13489,1872,72,1490,10969,Rejected
Poor,Unemployed,House,Good,Auto,Tax Lien,Business,32470,34464,48,65,3,3,0,5264,57,71,3801,1683,Rejected
Good,Employed,Other,Excellent,Mortgage,None,Debt Consolidation,27517,47400,59,46,3,5,4,613,3029,43,1676,1052,Rejected
Excellent,Self-Employed,Land,Excellent,Personal,Tax Lien,Car Financing,36682,17456,64,20,2,1,1,17004,9708,79,3192,14051,Rejected
Poor,Unemployed,None,Poor,Student,Tax Lien,Debt Consolidation,23751,29450,8,57,1,1,0,18357,13401,5,4119,3043,Rejected
Excellent,Unemployed,Car,Good,Other,Collection,Other,44347,42689,68,70,0,4,1,3289,6886,47,3118,8813,Rejected
Good,Unemployed,Other,Good,Other,Bankruptcy,Business,13361,30840,10,83,2,1,5,17599,2115,41,1060,8605,Approved
Poor,Self-Employed,Car,Excellent,Mortgage,None,Home Improvement,12306,12121,90,58,4,2,1,302,4734,44,1781,11151,Rejected
Poor,Employed,Land,Fair,Student,Judgement,Debt Consolidation,48780,45540,6,94,0,5,2,4584,4143,11,1620,7340,Rejected
Poor,Unemployed,House,Poor,Mortgage,Other,Debt Consolidation,28692,30754,56,68,1,1,5,14736,3864,66,3233,5152,Rejected
Excellent,Self-Employed,Investment,Excellent,Other,Collection,Car Financing,13043,26448,65,34,4,4,4,15795,17980,24,3691,18655,Rejected
Fair,Employed,None,Excellent,Mortgage,Judgement,Other,41905,16237,15,5,1,2,3,13279,9244,98,4624,8743,Rejected
Fair,Employed,House,Good,Other,Collection,Other,39414,15460,68,84,1,2,5,11132,1704,72,3874,2837,Rejected
Poor,Self-Employed,Land,Excellent,Auto,Collection,Car Financing,41515,13470,97,53,5,2,1,17546,5664,11,3956,2127,Rejected
Excellent,Self-Employed,Car,Excellent,Student,Judgement,Debt Consolidation,42389,28572,8,71,4,0,5,3431,3886,52,4095,11638,Rejected
Excellent,Unemployed,House,Poor,Student,None,Other,18989,47825,38,92,4,5,4,2813,9022,62,2913,18093,Rejected
Fair,Self-Employed,None,Fair,Mortgage,Judgement,Car Financing,29132,47627,91,34,3,5,3,12312,1240,8,3385,18505,Rejected
Excellent,Unemployed,House,Fair,Mortgage,None,Home Improvement,43157,41870,27,38,4,4,0,13913,17117,35,1679,4107,Rejected
Excellent,Employed,Investment,Excellent,Personal,Tax Lien,Other,47684,49715,74,8,3,3,1,13938,5201,65,2496,18960,Rejected
Excellent,Employed,None,Excellent,Personal,Collection,Home Improvement,45346,27835,18,64,3,5,4,19416,14389,55,1783,3960,Rejected
Fair,Self-Employed,None,Excellent,Personal,Other,Car Financing,44851,35604,4,83,3,3,4,19496,11316,9,1859,2248,Rejected
Fair,Employed,None,Good,Other,None,Debt Consolidation,29129,44985,31,21,5,1,3,12803,11134,56,1121,16100,Rejected
Excellent,Employed,Car,Excellent,Mortgage,None,Other,22841,13528,63,22,4,0,1,4339,1769,41,1198,13902,Rejected
Excellent,Employed,Car,Good,Other,Judgement,Debt Consolidation,21287,46397,10,28,3,5,4,4765,18853,25,1880,7462,Rejected
Poor,Self-Employed,Other,Excellent,Personal,Collection,Home Improvement,13983,27521,3,34,3,1,3,12455,1444,82,4848,5941,Rejected
Poor,Unemployed,Investment,Good,Mortgage,Judgement,Other,15570,45382,70,77,0,2,4,17084,11428,44,2807,17560,Rejected
Excellent,Self-Employed,None,Poor,Personal,Judgement,Home Improvement,30159,21909,55,13,4,4,2,9795,3015,42,3938,991,Rejected
Excellent,Self-Employed,Land,Poor,Personal,Bankruptcy,Business,34374,40359,5,73,1,3,0,5297,6742,61,2173,17460,Rejected
Good,Self-Employed,Land,Excellent,Mortgage,Other,Other,25352,20807,11,21,4,0,0,17554,3713,10,3951,7952,Approved
Excellent,Employed,Land,Fair,Other,Bankruptcy,Car Financing,31538,15579,98,63,1,4,2,5668,6208,91,3121,2724,Rejected
Poor,Employed,House,Excellent,Other,Tax Lien,Other,48144,27653,17,65,1,3,4,2517,937,27,4982,1715,Rejected
Fair,Employed,Investment,Fair,Other,Bankruptcy,Car Financing,39100,16371,43,23,0,0,5,6964,7114,79,2352,11620,Rejected
Fair,Unemployed,Investment,Good,Student,Collection,Car Financing,34390,42543,8,83,0,4,2,6822,844,86,3786,15161,Rejected
Excellent,Unemployed,Investment,Good,Personal,None,Home Improvement,36111,13895,66,25,0,3,5,14590,15685,78,3478,17969,Rejected
Fair,Employed,Car,Good,Student,Judgement,Car Financing,34442,17987,53,43,0,1,3,2725,11765,24,4683,2798,Rejected
Fair,Unemployed,Car,Excellent,Other,Bankruptcy,Car Financing,39968,49154,58,52,4,2,4,3488,7972,25,2203,10128,Rejected
Good,Self-Employed,Other,Good,Other,Collection,Other,28110,45788,6,77,3,2,0,2,7424,25,1746,11786,Approved
Good,Employed,Other,Excellent,Auto,None,Other,28104,14979,49,84,2,2,0,3963,285,18,2489,19582,Approved
Good,Unemployed,Investment,Good,Mortgage,Tax Lien,Other,39793,31552,56,54,0,4,5,7453,10541,16,2767,6911,Rejected
Excellent,Self-Employed,Land,Good,Mortgage,None,Car Financing,20407,43367,23,1,3,5,4,14470,13865,99,2925,1065,Rejected
Fair,Employed,House,Fair,Other,Judgement,Car Financing,14095,43439,47,43,4,1,4,13133,5255,46,4735,3356,Rejected
Good,Self-Employed,Investment,Good,Student,Bankruptcy,Other,46549,16353,64,13,0,3,2,19908,6434,80,4221,11721,Rejected
Excellent,Self-Employed,Investment,Good,Auto,Bankruptcy,Debt Consolidation,16896,46485,86,12,4,5,2,12374,1952,24,3409,19720,Rejected
Poor,Self-Employed,None,Excellent,Auto,None,Business,23478,48401,9,62,2,2,4,7703,18299,64,1668,16923,Rejected
Excellent,Employed,Other,Fair,Other,Judgement,Home Improvement,17043,23937,22,42,5,2,2,19602,9318,39,1578,16305,Rejected
Poor,Employed,Other,Good,Student,Judgement,Car Financing,10923,40632,70,94,4,1,3,11922,11284,55,3750,13619,Rejected
Poor,Employed,Land,Good,Other,Collection,Debt Consolidation,25333,37304,73,81,1,2,5,11978,9558,47,3965,15659,Rejected
Poor,Employed,House,Poor,Other,Other,Home Improvement,19391,29394,29,41,0,3,3,16731,4410,26,4215,8660,Rejected
Poor,Employed,Other,Poor,Student,Other,Home Improvement,25731,28182,15,7,4,3,4,9004,15844,49,2188,8028,Rejected
Excellent,Self-Employed,None,Fair,Student,Bankruptcy,Car Financing,12188,34951,35,78,1,2,5,7923,10438,30,4079,11909,Rejected
Poor,Unemployed,Other,Good,Auto,Tax Lien,Debt Consolidation,34937,41643,12,61,1,0,4,1349,19837,70,2750,4496,Rejected
Excellent,Unemployed,Car,Good,Auto,Judgement,Debt Consolidation,38983,49059,48,61,2,1,2,2873,13431,30,3054,16471,Rejected
Poor,Self-Employed,Land,Poor,Auto,Tax Lien,Car Financing,25391,16839,58,22,0,4,5,18108,9535,98,2887,12905,Rejected
Excellent,Unemployed,Investment,Excellent,Other,Judgement,Car Financing,43808,38832,60,46,1,0,1,17510,11378,81,1323,4471,Rejected
Good,Self-Employed,Car,Poor,Auto,Collection,Car Financing,16482,49607,5,59,5,5,1,17849,637,9,2326,19380,Approved
Excellent,Unemployed,Car,Poor,Auto,None,Car Financing,11292,14337,40,15,1,4,0,5388,16525,46,1776,18898,Rejected
Poor,Employed,Other,Poor,Mortgage,None,Business,24816,36314,94,4,0,5,3,10839,6959,60,2588,1890,Rejected
Poor,Employed,Investment,Fair,Auto,Other,Home Improvement,45275,38128,49,19,1,1,3,3788,17070,82,3866,11404,Rejected
Poor,Employed,None,Fair,Other,Judgement,Business,10010,13982,31,41,5,2,3,2545,19927,45,1620,8772,Rejected
Fair,Employed,House,Excellent,Personal,None,Car Financing,24847,17717,95,48,4,3,0,14289,16460,12,4361,12300,Rejected
Fair,Self-Employed,Other,Fair,Mortgage,Other,Debt Consolidation,21584,26390,44,55,2,2,4,4072,17037,32,3692,4584,Rejected
Poor,Unemployed,Land,Poor,Personal,Tax Lien,Car Financing,35132,29035,54,20,3,2,0,14508,16670,81,3526,14414,Rejected
Good,Employed,Other,Fair,Auto,Other,Debt Consolidation,27554,42664,36,57,2,3,3,2941,7183,74,2440,1351,Rejected
Poor,Unemployed,Land,Good,Personal,Bankruptcy,Other,12222,48197,26,39,3,3,4,19938,17963,93,2025,6980,Rejected
Excellent,Employed,None,Good,Mortgage,None,Debt Consolidation,17494,11057,41,57,1,1,5,11825,16238,16,4923,2584,Rejected
Poor,Employed,Land,Good,Personal,Judgement,Car Financing,19103,18194,90,37,4,4,4,3008,8012,2,2639,10498,Rejected
Good,Employed,House,Good,Mortgage,Tax Lien,Debt Consolidation,37208,41740,24,20,0,2,0,8801,14340,77,2643,11420,Approved
Good,Employed,Land,Excellent,Mortgage,Tax Lien,Debt Consolidation,29032,49065,93,95,1,5,5,13671,5204,68,2420,18254,Approved
Good,Employed,Land,Poor,Mortgage,Tax Lien,Business,35176,13741,7,24,4,0,4,2348,1340,31,4778,10685,Rejected
Fair,Employed,House,Excellent,Auto,Other,Debt Consolidation,39352,21013,57,0,2,4,2,5346,3416,69,4328,7639,Rejected
Fair,Unemployed,Other,Good,Mortgage,Other,Car Financing,42784,48626,66,39,1,5,2,11155,2307,20,1140,14095,Rejected
Excellent,Unemployed,Investment,Good,Auto,Other,Debt Consolidation,36308,42829,50,28,5,4,1,5634,15454,4,2576,4357,Rejected
Good,Employed,House,Poor,Auto,None,Business,23846,43046,22,71,5,2,2,18088,3615,49,2746,2861,Rejected
Fair,Employed,Car,Fair,Personal,Collection,Debt Consolidation,46060,12636,11,36,4,0,5,3899,16485,69,4023,14178,Rejected
Good,Unemployed,Other,Poor,Auto,Tax Lien,Car Financing,24915,21500,58,76,5,4,1,5884,6459,52,2401,14701,Rejected
Fair,Unemployed,Land,Fair,Other,Other,Car Financing,18877,29720,43,17,4,1,1,5930,12088,73,2949,19730,Rejected
Excellent,Employed,Car,Excellent,Personal,Collection,Debt Consolidation,31845,40589,13,88,2,1,2,209,13543,85,4254,16672,Rejected
Fair,Self-Employed,Other,Excellent,Other,None,Car Financing,26784,31297,96,10,3,5,4,9729,10523,46,1426,18644,Rejected
Good,Unemployed,Other,Excellent,Student,Judgement,Car Financing,48510,21161,13,5,0,0,1,10365,2946,51,2142,1811,Rejected
Poor,Unemployed,Investment,Good,Mortgage,None,Car Financing,33878,36335,99,28,4,1,3,17788,7607,11,4393,10731,Rejected
Good,Self-Employed,Other,Poor,Other,Judgement,Business,33745,49359,62,8,0,0,1,11475,1780,45,4722,6008,Rejected
Poor,Unemployed,Car,Fair,Student,Bankruptcy,Other,18317,31078,19,69,4,0,0,7112,17793,50,1427,776,Rejected
Excellent,Employed,None,Fair,Personal,Judgement,Debt Consolidation,33483,41166,53,93,0,0,4,3001,316,90,1124,15762,Rejected
Fair,Unemployed,None,Fair,Auto,Judgement,Car Financing,25261,10326,16,39,0,0,2,11502,10237,40,1232,5223,Rejected
Excellent,Employed,Other,Good,Other,Tax Lien,Car Financing,15331,30473,65,55,0,3,4,12091,4073,45,1768,2925,Rejected
Excellent,Employed,Car,Fair,Personal,Bankruptcy,Car Financing,19206,34367,8,58,1,1,5,4395,8516,14,4263,19157,Rejected
Good,Self-Employed,Other,Fair,Personal,Other,Business,37682,32843,70,70,5,1,4,11769,15007,39,4970,4397,Rejected
Good,Employed,Land,Good,Student,None,Car Financing,10689,39444,44,71,1,3,0,4167,16859,14,4049,6563,Approved
Excellent,Self-Employed,Land,Fair,Other,Tax Lien,Other,29135,26464,44,16,4,3,2,17859,5288,98,4087,12940,Rejected
Excellent,Self-Employed,Investment,Fair,Other,Judgement,Business,27486,34991,25,59,0,5,4,13310,9632,58,2498,6373,Rejected
Fair,Self-Employed,House,Fair,Mortgage,None,Debt Consolidation,26818,22550,90,85,0,4,1,7757,19151,28,4157,14504,Rejected
Fair,Unemployed,None,Fair,Auto,Bankruptcy,Debt Consolidation,33481,45633,72,30,4,2,5,8944,12398,98,1735,11547,Rejected
Fair,Employed,Car,Poor,Auto,Tax Lien,Home Improvement,46601,12129,6,81,3,0,1,7944,5655,22,1397,1532,Rejected
Fair,Self-Employed,Land,Poor,Student,Tax Lien,Other,36769,22558,25,49,4,3,2,13509,3024,76,4672,14205,Rejected
Fair,Employed,None,Excellent,Mortgage,Bankruptcy,Car Financing,45161,42208,87,95,3,0,5,11151,6775,64,1604,15339,Rejected
Good,Self-Employed,Investment,Fair,Personal,Bankruptcy,Debt Consolidation,28615,38453,62,14,2,1,5,4201,4447,6,3781,10871,Approved
Fair,Self-Employed,None,Excellent,Mortgage,Collection,Home Improvement,20126,29926,25,30,5,5,5,14646,2201,41,1450,2783,Rejected
Good,Employed,None,Good,Other,Judgement,Car Financing,11302,22808,80,22,5,3,1,5304,3204,3,4075,12894,Rejected
Fair,Employed,Investment,Excellent,Personal,None,Car Financing,38221,32195,26,23,4,2,4,2294,6403,62,3969,15148,Rejected
Poor,Self-Employed,House,Good,Mortgage,Other,Debt Consolidation,32313,15447,2,35,1,3,3,11362,10580,26,4899,13322,Rejected
Good,Employed,Car,Poor,Auto,Other,Home Improvement,48850,23140,70,63,2,3,0,16899,8909,71,2192,5774,Rejected
Good,Unemployed,Car,Excellent,Personal,Tax Lien,Debt Consolidation,28458,14548,66,40,5,3,5,17968,12664,40,3320,3618,Rejected
Fair,Employed,Other,Good,Auto,Judgement,Car Financing,49206,38934,50,44,3,5,2,16294,19272,47,1394,3631,Rejected
Poor,Employed,Car,Fair,Mortgage,Tax Lien,Car Financing,11693,31265,64,0,5,4,2,8644,10266,85,1950,343,Rejected
Excellent,Employed,House,Fair,Student,Bankruptcy,Business,21595,37125,38,79,2,1,2,14838,9474,19,2529,8383,Rejected
Poor,Unemployed,Other,Good,Personal,Bankruptcy,Debt Consolidation,36073,49118,8,10,2,1,1,6049,11971,72,4071,1551,Rejected
Fair,Unemployed,Land,Poor,Auto,Other,Car Financing,41565,30681,25,71,1,5,0,6556,14396,98,4123,6381,Rejected
Poor,Unemployed,Other,Excellent,Personal,Collection,Business,46994,27601,91,61,4,1,3,16938,19357,88,4490,11343,Rejected
Fair,Unemployed,House,Excellent,Other,Collection,Home Improvement,41685,25675,3,43,3,0,4,2268,18323,16,4195,1276,Rejected
Excellent,Unemployed,Other,Poor,Student,Judgement,Other,32728,34722,58,75,2,4,3,7288,13721,76,4225,18716,Rejected
Good,Employed,None,Fair,Student,Tax Lien,Debt Consolidation,10430,33606,24,44,4,4,0,8481,9127,70,4798,9052,Rejected
Good,Unemployed,None,Poor,Personal,Judgement,Home Improvement,12102,40839,14,60,0,0,0,19991,3219,55,4149,8199,Approved
Excellent,Unemployed,Investment,Fair,Student,Judgement,Business,33839,33642,70,79,1,3,1,13543,9612,5,3796,14770,Rejected
Poor,Self-Employed,House,Good,Student,None,Business,30716,42760,23,89,1,0,2,17244,13334,83,1054,3548,Rejected
Excellent,Unemployed,Other,Poor,Mortgage,None,Other,41002,24665,54,8,2,3,0,5111,7790,76,3645,14277,Rejected
Fair,Unemployed,Other,Fair,Student,Other,Home Improvement,28345,20849,41,68,1,4,4,2721,414,30,4370,12816,Rejected
Good,Self-Employed,House,Fair,Auto,Tax Lien,Debt Consolidation,30869,34139,82,52,5,0,1,4107,7107,25,4433,10391,Approved
Fair,Self-Employed,Car,Good,Other,Other,Other,14384,19162,98,28,1,5,3,5619,3411,88,1119,4251,Rejected
Excellent,Employed,Other,Good,Other,Collection,Car Financing,30070,17302,69,82,5,1,3,4053,9233,58,3508,19787,Rejected
Poor,Employed,House,Good,Auto,None,Home Improvement,39598,17430,39,69,1,5,2,15163,15954,69,4823,16279,Rejected
Fair,Unemployed,Other,Good,Personal,Tax Lien,Other,33911,45434,57,12,0,0,4,3494,13854,76,2358,18388,Rejected
Poor,Self-Employed,House,Fair,Auto,Other,Business,31067,31522,8,29,1,3,3,14276,7092,25,1086,16049,Rejected
Poor,Self-Employed,Other,Good,Student,None,Car Financing,18801,49727,66,58,0,2,1,12700,12759,67,2839,19075,Rejected
Excellent,Employed,Land,Fair,Other,Judgement,Business,36291,15856,23,71,5,1,2,13851,6333,59,2772,968,Rejected
Poor,Self-Employed,None,Good,Mortgage,Collection,Other,30946,40421,67,67,4,2,4,13184,16153,51,2340,3614,Rejected
Excellent,Employed,Other,Excellent,Other,Collection,Business,46937,37594,44,6,1,5,1,5675,1727,59,4111,18580,Rejected
Good,Self-Employed,Car,Poor,Student,None,Car Financing,20711,38320,22,7,2,1,1,12282,1149,65,2860,5925,Approved
Good,Employed,House,Poor,Personal,None,Home Improvement,47256,12537,57,56,3,1,5,4930,8316,51,2963,5374,Approved
Excellent,Self-Employed,Car,Fair,Student,Judgement,Car Financing,48626,31700,3,43,4,5,0,1723,6619,92,1168,19758,Rejected
Excellent,Unemployed,Land,Poor,Personal,Judgement,Home Improvement,22684,18547,31,84,1,2,3,1744,601,36,1530,12316,Rejected
Fair,Unemployed,Land,Excellent,Other,Tax Lien,Business,17760,34582,78,45,3,1,4,3695,16523,87,4784,10745,Rejected
Good,Self-Employed,None,Fair,Student,Judgement,Other,17464,18188,1,98,0,1,4,12818,7992,33,4614,9838,Rejected
Fair,Employed,Investment,Poor,Auto,Collection,Debt Consolidation,17652,42211,43,99,2,0,3,12226,12100,29,4810,13104,Rejected
Excellent,Unemployed,Other,Fair,Personal,None,Business,26688,38615,100,65,4,1,4,1548,8092,90,4161,12115,Rejected
Good,Self-Employed,None,Poor,Auto,Other,Other,11928,27871,41,22,0,3,0,11701,7348,13,1945,14377,Rejected
Good,Self-Employed,Investment,Good,Mortgage,Tax Lien,Car Financing,29864,34436,99,23,3,5,5,134,16895,12,1750,18783,Approved
Excellent,Self-Employed,Investment,Poor,Personal,Collection,Car Financing,15692,33870,51,59,4,3,0,11782,3173,20,3868,286,Rejected
Fair,Employed,None,Poor,Other,Tax Lien,Car Financing,36784,33032,38,61,3,1,5,16636,3693,63,4027,575,Rejected
Good,Self-Employed,Car,Excellent,Student,Tax Lien,Business,24307,11733,9,66,3,4,3,19688,18304,24,4228,5819,Rejected
Fair,Unemployed,Car,Poor,Other,Tax Lien,Business,21624,45602,25,45,3,3,3,6283,9172,90,3713,5005,Rejected
Excellent,Self-Employed,House,Fair,Auto,Tax Lien,Debt Consolidation,33030,34905,69,74,5,2,5,8548,16488,98,2974,14523,Rejected
Poor,Employed,Investment,Excellent,Student,Judgement,Home Improvement,45070,22283,39,15,0,5,5,2084,13960,30,2390,1922,Rejected
Excellent,Unemployed,House,Fair,Mortgage,Tax Lien,Debt Consolidation,17389,44324,91,19,3,4,0,8500,12312,71,2117,11961,Rejected
Good,Self-Employed,Car,Good,Auto,None,Other,43735,31622,92,2,1,3,3,8844,7699,49,2729,5673,Approved
Poor,Employed,Car,Poor,Mortgage,Collection,Home Improvement,24154,46577,82,93,1,4,4,8032,17717,44,3552,18264,Rejected
Excellent,Employed,None,Poor,Auto,Judgement,Home Improvement,16966,18543,5,53,1,3,5,15478,2296,43,1786,17264,Rejected
Fair,Self-Employed,Land,Fair,Auto,Judgement,Home Improvement,21182,19941,91,15,4,4,1,4940,9287,2,2720,13522,Rejected
Poor,Employed,House,Fair,Other,Other,Other,47623,24367,98,100,3,1,4,10928,1358,23,3717,5302,Rejected
Fair,Self-Employed,Land,Excellent,Mortgage,Judgement,Debt Consolidation,11555,13820,89,51,0,1,4,3542,5320,19,4084,10116,Rejected
Fair,Unemployed,Other,Poor,Other,Tax Lien,Other,32682,46976,36,10,3,2,4,12829,5266,14,4080,15536,Rejected
Excellent,Self-Employed,House,Excellent,Personal,None,Other,32227,36280,59,86,4,2,4,14716,17292,69,2365,8654,Rejected
Poor,Employed,Other,Excellent,Student,None,Debt Consolidation,19592,26928,31,32,5,2,0,294,5707,88,4574,14943,Rejected
Fair,Employed,Land,Excellent,Student,Judgement,Other,35980,14968,41,65,4,0,5,18773,6086,50,4991,2116,Rejected
Poor,Unemployed,Other,Poor,Personal,Judgement,Car Financing,20569,44457,56,31,5,4,4,6653,9241,84,2481,7243,Rejected
Excellent,Employed,House,Poor,Personal,Tax Lien,Debt Consolidation,27542,31076,46,43,3,1,5,1333,11584,76,4330,15328,Rejected
Excellent,Unemployed,Investment,Fair,Student,Tax Lien,Debt Consolidation,38307,30278,30,79,0,5,3,2367,17442,53,3900,14720,Rejected
Good,Unemployed,Investment,Good,Mortgage,Bankruptcy,Home Improvement,48262,25050,63,86,5,2,0,14047,5701,2,2394,15117,Rejected
Fair,Employed,Other,Fair,Student,Other,Debt Consolidation,25209,37117,73,3,5,0,0,18452,12812,96,3392,6109,Rejected
Good,Self-Employed,Other,Poor,Other,Judgement,Other,33693,40947,7,3,4,3,1,8373,12097,57,4999,7800,Approved
Fair,Employed,House,Excellent,Personal,Other,Debt Consolidation,29437,48233,54,6,0,4,3,14339,4673,92,2689,8934,Rejected
Poor,Employed,None,Poor,Personal,Other,Business,25461,48594,31,59,2,4,0,19606,8634,41,4071,5058,Rejected
